,Unnamed: 0,Time,Latitude,Longitude,Course,Speed_kts,Speed_mph,Altitude_feet,ClimbRate,ReportingFacility,FlightType,FlightNumber,ScrapeTime,cumsum_ClimbRate,alt_norm
1213,19104,Mon 08:40:35 AM,51.6207,3.9298,↗ 23°,323.0,372.0,"15,575",-1618.0,FlightAware ADS-B (BRU / EBBR),Arrivals,HOP1740,2025-03-24 14:11:45,38246.0,0.4918078260226348
1214,19105,Mon 08:41:05 AM,51.6614,3.958,↗ 23°,321.0,369.0,"14,700",-1775.0,FlightAware ADS-B (EBGB),Arrivals,HOP1740,2025-03-24 14:11:45,36471.0,0.4753957393298321
1215,19106,Mon 08:41:35 AM,51.7026,3.9865,↗ 23°,321.0,369.0,"13,800",-1725.0,FlightAware ADS-B (EBGB),Arrivals,HOP1740,2025-03-24 14:11:45,34746.0,0.4594459649382351
1216,19107,Mon 08:42:05 AM,51.7421,4.0138,↗ 23°,318.0,366.0,"12,975",-1725.0,FlightAware ADS-B (AMS / EHAM),Arrivals,HOP1740,2025-03-24 14:11:45,33021.0,0.4434961905466381
1217,19108,Mon 08:42:35 AM,51.7837,4.0428,↗ 23°,316.0,364.0,"12,075",-1750.0,FlightAware ADS-B (RTM / EHRD),Arrivals,HOP1740,2025-03-24 14:11:45,31271.0,0.4273152600044382
1218,19109,Mon 08:43:05 AM,51.8224,4.0697,↗ 23°,310.0,357.0,"11,225",-1600.0,FlightAware ADS-B (RTM / EHRD),Arrivals,HOP1740,2025-03-24 14:11:45,29671.0,0.41252126636585545
1219,19110,Mon 08:43:35 AM,51.8623,4.0974,↗ 23°,296.0,341.0,"10,475",-1442.0,FlightAware ADS-B (EHHA),Arrivals,HOP1740,2025-03-24 14:11:45,28229.0,0.39918817959908276
1220,19111,Mon 08:43:57 AM,51.8898,4.1167,↗ 23°,285.0,328.0,"9,975",-1357.0,FlightAware ADS-B (OST / EBOS),Arrivals,HOP1740,2025-03-24 14:11:45,26872.0,0.38664102374435977
1221,19112,Mon 08:44:17 AM,51.9133,4.1364,↗ 33°,278.0,320.0,"9,525",-1350.0,FlightAware ADS-B (EHVB),Arrivals,HOP1740,2025-03-24 14:11:45,25522.0,0.3741585916118056
1222,19113,Mon 08:44:47 AM,51.9394,4.1714,↗ 42°,276.0,318.0,"8,850",-1450.0,FlightAware ADS-B (AMS / EHAM),Arrivals,HOP1740,2025-03-24 14:11:45,24072.0,0.36075153487684003
1223,19114,Mon 08:45:17 AM,51.9708,4.2172,↗ 42°,279.0,321.0,"8,075",-1361.0,FlightAware ADS-B (ESS / EDLE),Arrivals,HOP1740,2025-03-24 14:11:45,22711.0,0.34816739403802055
1224,19115,Mon 08:45:41 AM,51.9941,4.2514,↗ 44°,275.0,316.0,"7,625",-1071.0,FlightAware ADS-B (EHVB),Arrivals,HOP1740,2025-03-24 14:11:45,21640.0,0.33826466454619425
1225,19116,Mon 08:45:59 AM,52.0042,4.2823,→ 77°,275.0,316.0,"7,325",-1000.0,FlightAware ADS-B (RTM / EHRD),Arrivals,HOP1740,2025-03-24 14:11:45,20640.0,0.32901841852208
1226,19117,Mon 08:46:26 AM,52.0081,4.335,→ 84°,274.0,315.0,"6,875",-1132.0,FlightAware ADS-B (UTC / EHSB),Arrivals,HOP1740,2025-03-24 14:11:45,19508.0,0.31855166802278273
1227,19118,Mon 08:46:56 AM,52.0117,4.3961,→ 85°,273.0,314.0,"6,250",-875.0,FlightAware ADS-B (EBDT),Arrivals,HOP1740,2025-03-24 14:11:45,18633.0,0.3104612027516828
1228,19119,Mon 08:47:26 AM,52.0153,4.4588,→ 85°,275.0,316.0,"6,000",-300.0,FlightAware ADS-B (EBBT),Arrivals,HOP1740,2025-03-24 14:11:45,18333.0,0.30768732894444856
1229,19120,Mon 08:47:56 AM,52.0188,4.522,→ 85°,269.0,310.0,"5,950",-500.0,FlightAware ADS-B (RTM / EHRD),Arrivals,HOP1740,2025-03-24 14:11:45,17833.0,0.3030642059323915
1230,19121,Mon 08:48:26 AM,52.0222,4.5804,→ 85°,252.0,290.0,"5,500",-912.0,FlightAware ADS-B (EIN / EHEH),Arrivals,HOP1740,2025-03-24 14:11:45,16921.0,0.2946316295583993
1231,19122,Mon 08:48:47 AM,52.0245,4.617,→ 80°,244.0,281.0,"5,175",-1013.0,FlightAware ADS-B (AMS / EHAM),Arrivals,HOP1740,2025-03-24 14:11:45,15908.0,0.2852651823359716
1232,19123,Mon 08:49:06 AM,52.0333,4.6499,↗ 61°,251.0,289.0,"4,825",-920.0,FlightAware ADS-B (UDE / EHVK),Arrivals,HOP1740,2025-03-24 14:11:45,14988.0,0.27675863599378653
1233,19124,Mon 08:49:31 AM,52.0475,4.6899,↗ 60°,251.0,289.0,"4,500",-441.0,FlightAware ADS-B (AMS / EHAM),Arrivals,HOP1740,2025-03-24 14:11:45,14547.0,0.27268104149715217
1234,19125,Mon 08:49:57 AM,52.0631,4.7341,↗ 60°,241.0,277.0,"4,450",-409.0,FlightAware ADS-B (LEY / EHLE),Arrivals,HOP1740,2025-03-24 14:11:45,14138.0,0.26889932687328943
1235,19126,Mon 08:50:15 AM,52.0769,4.7543,↗ 27°,229.0,264.0,"4,200",-1013.0,FlightAware ADS-B (AMS / EHAM),Arrivals,HOP1740,2025-03-24 14:11:45,13125.0,0.25953287965086175
1236,19127,Mon 08:50:37 AM,52.098,4.7592,↑ 0°,221.0,254.0,"3,775",-1181.0,FlightAware ADS-B (EHHV),Arrivals,HOP1740,2025-03-24 14:11:45,11944.0,0.24861306309638287
1237,19128,Mon 08:51:02 AM,52.1241,4.761,↑ 4°,218.0,251.0,"3,275",-1145.0,FlightAware ADS-B (RTM / EHRD),Arrivals,HOP1740,2025-03-24 14:11:45,10799.0,0.2380261113987721
1238,19129,Mon 08:51:32 AM,52.1522,4.7642,↑ 4°,199.0,229.0,"2,725",-1075.0,FlightAware ADS-B (AMS / EHAM),Arrivals,HOP1740,2025-03-24 14:11:45,9724.0,0.22808639692284932
1239,19130,Mon 08:52:02 AM,52.1784,4.7669,↑ 4°,175.0,201.0,"2,200",-975.0,FlightAware ADS-B (AMS / EHAM),Arrivals,HOP1740,2025-03-24 14:11:45,8749.0,0.21907130704933797
1240,19131,Mon 08:52:32 AM,52.2011,4.769,↑ 3°,155.0,178.0,"1,750",-900.0,FlightAware ADS-B (AMS / EHAM),Arrivals,HOP1740,2025-03-24 14:11:45,7849.0,0.21074968562763519
1241,19132,Mon 08:53:02 AM,52.2222,4.771,↑ 3°,152.0,175.0,"1,300",-865.0,FlightAware ADS-B (RTM / EHRD),Arrivals,HOP1740,2025-03-24 14:11:45,6984.0,0.20275168281677639
1242,19133,Mon 08:53:24 AM,52.2367,4.7724,↑ 4°,137.0,158.0,"1,000",-770.0,Surface and Near-Surface,Arrivals,HOP1740,2025-03-24 14:11:45,6214.0,0.19563207337820845
1243,19134,Mon 08:53:39 AM,52.2452,4.7732,↑ 2°,124.0,143.0,825,-677.0,FlightAware ADS-B (EHVB),Arrivals,HOP1740,2025-03-24 14:11:45,5537.0,0.18937236481988312
